origin,destination,hour,minute,day_of_week,route_id,travel_time,distance,traffic_delay,avg_speed,delay_ratio,is_best_route
Hadapsar,Swargate,16,30,4,0,1379,8486,0,22.15344452501813,0.0,1
Hadapsar,Swargate,16,30,4,1,2003,11764,0,21.143484772840736,0.0,0
Hadapsar,Swargate,16,30,4,2,1539,9613,0,22.48654970760234,0.0,0
Hadapsar,Swargate,17,30,4,0,1421,8486,0,21.49866291344124,0.0,1
Hadapsar,Swargate,17,30,4,1,2036,11764,0,20.800785854616894,0.0,0
Hadapsar,Swargate,17,30,4,2,1580,9613,0,21.903037974683542,0.0,0
Hadapsar,Swargate,18,30,4,0,1410,8486,0,21.666382978723405,0.0,1
Hadapsar,Swargate,18,30,4,1,2030,11764,0,20.862266009852217,0.0,0
Hadapsar,Swargate,18,30,4,2,1572,9613,0,22.014503816793894,0.0,0
Hadapsar,Swargate,19,30,4,0,1318,8486,0,23.178755690440063,0.0,1
Hadapsar,Swargate,19,30,4,1,1970,11626,0,21.245482233502536,0.0,0
Hadapsar,Swargate,19,30,4,2,1489,9613,0,23.24163868368032,0.0,0
Hadapsar,Swargate,20,30,4,0,1211,8486,0,25.22675474814203,0.0,1
Hadapsar,Swargate,20,30,4,1,1393,9613,0,24.843359655419956,0.0,0
Hadapsar,Swargate,20,30,4,2,1909,12146,0,22.90497642744893,0.0,0
Hadapsar,Swargate,21,30,4,0,1081,8486,0,28.260499537465314,0.0,1
Hadapsar,Swargate,21,30,4,1,1735,12131,0,25.170951008645535,0.0,0
Hadapsar,Swargate,21,30,4,2,1758,11129,0,22.78976109215017,0.0,0
Hadapsar,Swargate,22,30,4,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,22,30,4,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,22,30,4,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,23,30,4,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,23,30,4,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,23,30,4,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,6,30,5,0,1082,8486,0,28.23438077634011,0.0,1
Hadapsar,Swargate,6,30,5,1,1277,9613,0,27.10007830853563,0.0,0
Hadapsar,Swargate,6,30,5,2,1752,12131,0,24.926712328767124,0.0,0
Hadapsar,Swargate,7,30,5,0,1244,8486,0,24.557556270096466,0.0,1
Hadapsar,Swargate,7,30,5,1,1831,11626,0,22.85832878208629,0.0,0
Hadapsar,Swargate,7,30,5,2,1410,9613,0,24.543829787234042,0.0,0
Hadapsar,Swargate,8,30,5,0,1436,8486,0,21.27409470752089,0.0,1
Hadapsar,Swargate,8,30,5,1,1977,11626,0,21.170257966616084,0.0,0
Hadapsar,Swargate,8,30,5,2,1834,10494,0,20.598909487459103,0.0,0
Hadapsar,Swargate,9,30,5,0,1501,8486,0,20.352831445702865,0.0,1
Hadapsar,Swargate,9,30,5,1,2057,11626,0,20.346912980068062,0.0,0
Hadapsar,Swargate,9,30,5,2,1874,10494,0,20.15923159018143,0.0,0
Hadapsar,Swargate,10,30,5,0,1576,8486,0,19.384263959390864,0.0,1
Hadapsar,Swargate,10,30,5,1,2106,11129,0,19.023931623931624,0.0,0
Hadapsar,Swargate,10,30,5,2,2229,11695,0,18.888290713324363,0.0,0
Hadapsar,Swargate,11,30,5,0,1606,8486,0,19.022166874221668,0.0,1
Hadapsar,Swargate,11,30,5,1,2186,11202,0,18.447941445562673,0.0,0
Hadapsar,Swargate,11,30,5,2,2326,11695,0,18.1006018916595,0.0,0
Hadapsar,Swargate,12,30,5,0,1556,8486,0,19.63341902313625,0.0,1
Hadapsar,Swargate,12,30,5,1,2197,11202,0,18.355575785161584,0.0,0
Hadapsar,Swargate,12,30,5,2,1697,9613,0,20.392928697701826,0.0,0
Hadapsar,Swargate,13,30,5,0,1442,8486,0,21.185575589459088,0.0,1
Hadapsar,Swargate,13,30,5,1,1601,9613,0,21.6157401623985,0.0,0
Hadapsar,Swargate,13,30,5,2,2176,11764,0,19.4625,0.0,0
Hadapsar,Swargate,14,30,5,0,1404,8486,0,21.75897435897436,0.0,1
Hadapsar,Swargate,14,30,5,1,1571,9613,0,22.028516868236792,0.0,0
Hadapsar,Swargate,14,30,5,2,2134,11764,0,19.845548266166823,0.0,0
Hadapsar,Swargate,15,30,5,0,1444,8486,0,21.156232686980612,0.0,1
Hadapsar,Swargate,15,30,5,1,2147,11764,0,19.725384257102935,0.0,0
Hadapsar,Swargate,15,30,5,2,1608,9613,0,21.521641791044775,0.0,0
Hadapsar,Swargate,16,30,5,0,1563,8486,0,19.54548944337812,0.0,1
Hadapsar,Swargate,16,30,5,1,2229,11764,0,18.99973082099596,0.0,0
Hadapsar,Swargate,16,30,5,2,1711,9613,0,20.226066627703094,0.0,0
Hadapsar,Swargate,17,30,5,0,1721,8486,0,17.751074956420688,0.0,1
Hadapsar,Swargate,17,30,5,1,2244,11110,0,17.823529411764707,0.0,0
Hadapsar,Swargate,17,30,5,2,2489,11695,0,16.915226998794697,0.0,0
Hadapsar,Swargate,18,30,5,0,1757,8486,0,17.387364826408653,0.0,1
Hadapsar,Swargate,18,30,5,1,2259,11110,0,17.705179282868528,0.0,0
Hadapsar,Swargate,18,30,5,2,2467,11695,0,17.066072152411838,0.0,0
Hadapsar,Swargate,19,30,5,0,1572,8486,0,19.433587786259544,0.0,1
Hadapsar,Swargate,19,30,5,1,2204,11626,0,18.98983666061706,0.0,0
Hadapsar,Swargate,19,30,5,2,1714,9613,0,20.190665110851807,0.0,0
Hadapsar,Swargate,20,30,5,0,1308,8486,0,23.355963302752293,0.0,1
Hadapsar,Swargate,20,30,5,1,1481,9613,0,23.367184334908842,0.0,0
Hadapsar,Swargate,20,30,5,2,2024,12146,0,21.603557312252967,0.0,0
Hadapsar,Swargate,21,30,5,0,1093,8486,0,27.950228728270815,0.0,1
Hadapsar,Swargate,21,30,5,1,1746,12131,0,25.01237113402062,0.0,0
Hadapsar,Swargate,21,30,5,2,1768,11129,0,22.660859728506786,0.0,0
Hadapsar,Swargate,22,30,5,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,22,30,5,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,22,30,5,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,23,30,5,0,1034,8486,0,29.545067698259192,0.0,1
Hadapsar,Swargate,23,30,5,1,1690,12131,0,25.841183431952665,0.0,0
Hadapsar,Swargate,23,30,5,2,1718,11129,0,23.320372526193246,0.0,0
Hadapsar,Swargate,6,30,6,0,1089,8486,0,28.052892561983473,0.0,1
Hadapsar,Swargate,6,30,6,1,1284,9613,0,26.95233644859813,0.0,0
Hadapsar,Swargate,6,30,6,2,1767,12131,0,24.715110356536503,0.0,0
Hadapsar,Swargate,7,30,6,0,1266,8486,0,24.130805687203793,0.0,1
